Project Number,Project Name,WBS Element,WBS Name,,Activity,Customer Number,Customer Name,Cost Type,Cost Element Name,,,PS0,PS1/ V2,PS2,PS3,PS4/ V1,Actual,Commitment,POC%,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,EA-02,Energy Automation-PM,0,149839.88,207650.971,321517.112148108,466653.203480114,388496.92492722,355365.99,0,23.71,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,"Total Invoicing
/ Planned Revenue",42000200,Sales Projects-OG-AB,AED,120860,557425.21,883370.579318919,1208248.40744403,1044452.56051972,1066506.42,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,POC Adjustment,91000001,SETTLEMENT NWK/WBS,AED,154361,701249.2,1111126.3052973,1520360.54237264,1313924.01161989,1340754,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50050000,Outsourced Labour OG,AED,120867,40513.71,56125.4004,105522.210339209,75290.1155034244,32680.62,25186,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070200,Outbound Freight,AED,255557.36,51111.472,63378.22528,149408.513960096,94413.9666452397,0,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070800,Misc DVC Expenses,AED,861470.02,172419.004,213844.610005045,503914.671343785,318498.731975824,250,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070951,Project Cost - Bank,AED,961470.02,192294.004,238444.56496,562111.797153421,355208.703042941,0,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070952,Travel Cost - Hotel,AED,157697.92,33258.164,41859.4314681081,95862.4248315002,61482.6298948072,3437.16,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070953,Travel Cost - Visa D,AED,168395,44138.63,58501.137236036,120763.625003013,81823.2747280286,20919.26,0,0,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070954,Travel Cost - AirTic,0,43833.76,23911.752,35108.2301376577,57935.7051545542,44589.5990606223,30290,0,7.66,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,ML-02,MV/LV-PM & TL,0,157697.92,56885.024,79670.9216518919,146265.6052695,105780.859842564,50690.88,0,32.14,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,ML-03,AE01/ML-03,0,108273.04,253911.128,398545.841963243,558773.355018008,475460.765985652,464513.04,0,42.9,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,OG-01,O&G-Senior PM & TL,0,15769.92,228448.464,364463.29536,489840.406829399,428232.907037927,450588.96,0,21.35,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-05,Project Cost,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,OG-02,O&G-PM & TL,0,16835,174507.25,278061.152162162,374935.874086927,327092.100450994,342280.5,0,20.33,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-99,Warranty and Other Provisions,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070900,Project Cost - Warra,AED,102737.04,20547.408,25478.78592,60063.9655811867,37955.5160054504,0,0,0,0
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-99,Warranty and Other Provisions,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070920,Project Cost - Risk,AED,5179040,1035808,1284401.92,3027862.98207141,1913361.87623147,0,0,0,0
